report_year,agency_jurisdiction,population,homicides,rapes,assaults,robberies
1977,"Oakland, CA",339264.0,94.0,366.0,2267.0,3037.0
1977,"Oklahoma City, OK",373570.0,67.0,251.0,1602.0,775.0
1977,"Omaha, NE",367281.0,31.0,172.0,906.0,809.0
1977,"Orlando, FL",118374.0,15.0,85.0,769.0,274.0
1977,"Philadelphia, PA",1897706.0,323.0,771.0,3954.0,6999.0
1977,"Phoenix, AZ",682200.0,70.0,316.0,2315.0,1594.0
1977,"Pittsburgh, PA",482413.0,52.0,252.0,1729.0,2539.0
1977,"Portland, OR",385230.0,41.0,337.0,1892.0,1703.0
1977,"Prince George's County, MD",550201.0,51.0,264.0,1476.0,1933.0
1977,"Raleigh, NC",152840.0,10.0,39.0,402.0,120.0
1977,"Sacramento, CA",265220.0,41.0,205.0,1393.0,1276.0
1977,"Salt Lake City, UT",180122.0,12.0,112.0,461.0,479.0
1977,"San Antonio, TX",764217.0,146.0,273.0,1876.0,1460.0
1977,"San Diego, CA",788621.0,50.0,298.0,1585.0,2481.0
1977,"San Francisco, CA",676625.0,141.0,595.0,3208.0,5423.0
1977,"San Jose, CA",568303.0,41.0,322.0,1276.0,1031.0
1977,"Seattle, WA",500000.0,35.0,370.0,1987.0,1764.0
1977,"St. Louis, MO",512059.0,195.0,473.0,4115.0,4943.0
1977,"Suffolk County, NY",1140882.0,30.0,133.0,861.0,1018.0
1977,"Tampa, FL",264848.0,31.0,195.0,1906.0,1062.0
1977,"Tucson, AZ",306500.0,35.0,116.0,877.0,550.0
1977,"Tulsa, OK",352674.0,28.0,172.0,1161.0,489.0
1977,"Virginia Beach, VA",235324.0,16.0,80.0,215.0,152.0
1977,"Washington, DC",690000.0,192.0,402.0,2594.0,6655.0
1977,"Wichita, KS",261732.0,34.0,121.0,527.0,715.0
1978,"Albuquerque, NM",291834.0,37.0,187.0,1516.0,694.0
1978,"Arlington, TX",121750.0,6.0,43.0,269.0,132.0
